MATRICULA,MEDIA_CONSUMO,DESVIO_PADRAO_CONSUMO,CONSUMO_MINIMO,CONSUMO_MAXIMO,CATEGORIA,CONTAGEM_MATRICULA,FRAUDADOR
17075444,11.0,3.74,6.0,15.0,1,0,0
17075447,3.67,4.54,0.0,12.0,1,0,0
17075451,9.83,7.51,0.0,28.0,1,0,0
17075452,11.92,2.15,8.0,16.0,1,0,0
17075461,25.58,3.34,17.0,29.0,1,0,0
17075464,8.4,1.14,7.0,10.0,1,1,1
17075466,6.67,1.37,5.0,10.0,1,0,0
17075467,16.75,6.94,0.0,31.0,1,2,1
17075468,14.5,26.5,0.0,88.0,1,4,1
17075478,37.25,4.43,31.0,44.0,1,0,0
17075479,15.88,1.46,14.0,18.0,1,1,1
17075481,4.75,0.87,3.0,6.0,1,0,0
17075486,3.67,1.5,2.0,7.0,1,1,1
17075487,20.58,5.65,15.0,34.0,1,0,0
17075519,10.92,1.93,7.0,14.0,1,0,0
17075521,23.29,8.64,5.0,30.0,1,1,1
17075522,4.75,1.29,4.0,8.0,1,0,0
17075524,0.0,0.0,0.0,0.0,1,0,0
17075532,4.5,1.38,3.0,8.0,1,0,0
17075533,3.75,0.87,2.0,5.0,1,0,0
17075554,6.33,0.89,5.0,8.0,1,0,0
17075556,5.92,2.15,3.0,11.0,1,0,0
17075559,10.83,6.81,0.0,25.0,1,0,0
17075562,22.17,13.72,5.0,46.0,1,1,1
17075563,1.17,0.58,0.0,2.0,1,0,0
17075565,0.0,0.0,0.0,0.0,1,2,1
17075567,1.67,0.49,1.0,2.0,1,0,0
17075568,3.75,1.54,2.0,8.0,1,0,0
17075569,4.58,3.06,0.0,8.0,1,0,0
17075580,1.5,3.0,0.0,6.0,1,0,0
17075584,2.42,5.26,0.0,19.0,1,0,0
17075587,9.83,2.48,6.0,13.0,1,0,0
17075684,0.33,0.49,0.0,1.0,1,0,0
17075694,0.0,0.0,0.0,0.0,1,0,0
17075714,4.67,1.15,2.0,6.0,1,1,1
17075721,3.0,4.12,0.0,8.0,1,0,0
17075747,0.5,1.45,0.0,5.0,1,1,1
17075754,2.33,0.78,1.0,4.0,1,0,0
17075797,123.17,13.53,99.0,141.0,1,0,0
17075866,6.86,4.56,1.0,15.0,1,0,0
17075883,3.42,1.51,1.0,6.0,1,0,0
17075900,0.0,0.0,0.0,0.0,1,1,1
17075921,8.17,10.68,0.0,27.0,1,1,1
17075924,11.67,8.24,3.0,27.0,2,0,0
17075932,0.0,0.0,0.0,0.0,1,2,1
17075934,19.5,8.21,10.0,36.0,1,0,0
17075939,2.83,2.48,0.0,9.0,1,0,0
17075943,1.08,0.29,1.0,2.0,1,2,1
17075958,0.0,0.0,0.0,0.0,1,0,0
17075966,0.0,0.0,0.0,0.0,1,0,0
17075967,58.92,5.12,51.0,67.0,1,0,0
17075973,12.0,7.26,4.0,24.0,1,1,1
17075975,17.5,2.88,14.0,23.0,1,0,0
17075994,9.5,2.54,7.0,17.0,1,0,0
17076000,0.0,0.0,0.0,0.0,1,0,0
17076026,5.25,6.48,1.0,21.0,1,0,0
17076034,24.17,2.62,20.0,28.0,1,0,0
17076036,8.75,4.45,0.0,14.0,1,0,0
17076037,21.08,1.51,19.0,24.0,1,0,0
17076045,24.75,3.41,21.0,30.0,1,0,0
17076050,11.42,8.47,0.0,32.0,1,1,1
17076053,0.0,0.0,0.0,0.0,1,0,0
17076054,6.18,3.54,0.0,9.0,1,0,0
17076055,3.75,4.75,0.0,16.0,1,1,1
17076068,10.0,0.85,9.0,12.0,1,0,0
17076069,3.58,1.16,2.0,5.0,1,0,0
17076072,10.33,1.63,8.0,13.0,1,0,0
17076073,19.14,3.98,13.0,23.0,1,0,0
17076079,11.25,2.09,8.0,16.0,1,0,0
17076081,16.0,14.61,0.0,40.0,1,1,1
17076083,4.5,1.2,3.0,7.0,1,0,0
17076087,1.67,0.49,1.0,2.0,1,0,0
17076089,40.92,44.08,10.0,131.0,1,1,1
17076095,8.0,3.3,4.0,13.0,1,0,0
17076097,16.0,8.87,9.0,29.0,1,1,1
17076120,3.33,1.5,0.0,6.0,1,0,0
17076129,4.0,1.65,2.0,7.0,1,1,1
17076130,0.0,0.0,0.0,0.0,1,2,1
17076131,2.75,1.76,1.0,8.0,1,0,0
17076132,6.33,2.19,3.0,11.0,1,0,0
17076162,0.58,0.67,0.0,2.0,1,0,0
17076172,1.5,0.8,0.0,3.0,1,0,0
17076191,1.91,0.83,0.0,3.0,1,1,1
17076192,15.83,8.14,0.0,35.0,1,0,0
17076196,0.92,3.18,0.0,11.0,1,0,0
17076201,12.42,5.78,0.0,24.0,1,1,1
17076246,0.0,0.0,0.0,0.0,1,0,0
17076248,45.25,7.85,33.0,61.0,1,0,0
17076258,32.14,5.46,26.0,39.0,1,0,0
17076277,4.83,1.34,2.0,6.0,1,1,1
17076302,1.42,1.62,0.0,6.0,1,0,0
17076303,6.75,1.06,5.0,8.0,1,0,0
17076306,6.83,2.44,4.0,11.0,1,1,1
17076307,11.25,4.09,4.0,18.0,1,0,0
17076309,11.0,1.65,7.0,13.0,1,0,0
17076316,0.0,0.0,0.0,0.0,1,1,1
17076320,6.33,1.3,4.0,9.0,1,1,1
17076323,26.86,7.4,16.0,38.0,1,0,0
17076330,8.5,2.43,5.0,14.0,1,0,0
17076343,23.0,10.89,14.0,45.0,1,0,0
17076347,3.25,5.43,0.0,14.0,1,0,0
17076352,18.25,2.53,13.0,21.0,1,0,0
17076355,5.33,1.23,3.0,7.0,1,0,0
17076360,4.5,1.17,2.0,6.0,1,0,0
17076363,39.83,38.7,0.0,134.0,1,0,0
17076366,14.5,8.39,2.0,20.0,1,2,1
17076373,0.0,0.0,0.0,0.0,1,0,0
17076376,26.92,2.87,22.0,30.0,1,0,0
17076377,39.08,20.06,0.0,81.0,1,0,0
17076383,0.0,0.0,0.0,0.0,1,0,0
17076385,6.33,3.8,2.0,14.0,1,0,0
17076389,3.0,0.85,2.0,4.0,1,0,0
17076391,0.89,0.78,0.0,2.0,1,1,1
17076396,6.5,1.88,4.0,8.0,1,0,0
17076397,13.88,3.72,9.0,21.0,1,0,0
17076400,101.5,164.49,0.0,424.0,1,3,1
17076401,9.08,2.81,4.0,15.0,1,0,0
17076415,1.29,1.38,0.0,3.0,1,1,1
17076436,18.67,4.68,11.0,28.0,1,0,0
17076441,0.0,0.0,0.0,0.0,1,1,1
17076447,20.92,4.34,15.0,28.0,1,1,1
17076448,9.67,7.15,3.0,31.0,1,0,0
17076457,13.71,3.25,8.0,18.0,1,0,0
17076463,10.83,6.35,7.0,30.0,1,0,0
17076465,12.83,10.05,0.0,31.0,1,0,0
17076474,2.83,1.19,1.0,6.0,1,0,0
17076481,4.08,1.24,3.0,7.0,1,0,0
17076488,27.58,15.17,4.0,49.0,1,0,0
17076489,0.0,0.0,0.0,0.0,1,0,0
17076491,34.42,7.08,17.0,44.0,1,0,0
17076494,86.75,28.95,60.0,154.0,1,0,0
17076505,4.0,5.38,0.0,19.0,1,0,0
17076506,0.0,0.0,0.0,0.0,1,1,1
17076510,8.67,2.06,5.0,13.0,1,0,0
17076514,13.08,3.37,10.0,22.0,1,0,0
17076518,3.75,2.01,1.0,8.0,1,0,0
17076519,3.08,1.78,0.0,5.0,1,0,0
17076527,3.75,1.22,2.0,6.0,1,1,1
17076530,0.0,0.0,0.0,0.0,1,0,0
17076532,16.58,1.93,13.0,20.0,1,0,0
17076536,24.0,0.0,24.0,24.0,1,0,0
17076539,53.25,23.28,32.0,119.0,1,0,0
17076548,16.75,1.26,15.0,18.0,1,1,1
17076551,9.0,4.32,5.0,15.0,1,1,1
17076554,31.75,9.03,24.0,44.0,1,1,1
17076555,1.83,1.17,1.0,4.0,1,0,0
17076558,0.0,0.0,0.0,0.0,1,0,0
17076562,0.0,0.0,0.0,0.0,1,0,0
17076675,14.0,0.0,14.0,14.0,1,0,0
17076682,0.0,0.0,0.0,0.0,1,0,0
17076697,2.25,2.56,0.0,7.0,1,1,1
17076700,8.58,1.24,6.0,10.0,1,0,0
17076707,4.83,1.03,3.0,7.0,1,0,0
17076709,0.0,0.0,0.0,0.0,1,1,1
17076712,2.42,2.23,0.0,6.0,1,1,1
17076713,8.5,6.37,0.0,21.0,1,0,0
17076714,2.58,0.79,1.0,4.0,1,0,0
17076724,36.25,7.2,28.0,55.0,1,1,1
17076725,9.67,2.53,6.0,13.0,1,0,0
17076742,1.92,3.26,0.0,11.0,1,1,1
17076746,5.42,18.76,0.0,65.0,1,1,1
17076769,0.0,0.0,0.0,0.0,1,0,0
17076771,153.5,158.46,0.0,334.0,1,0,0
17076772,5.75,1.22,3.0,8.0,1,0,0
17076773,0.0,0.0,0.0,0.0,1,0,0
17076774,14.67,1.23,12.0,17.0,1,0,0
17076775,14.33,16.24,0.0,38.0,1,1,1
17076787,37.42,14.2,0.0,59.0,1,1,1
17076788,0.0,0.0,0.0,0.0,1,1,1
17076790,2.83,4.84,1.0,18.0,1,1,1
17076792,3.25,5.07,0.0,18.0,1,0,0
17076793,0.0,0.0,0.0,0.0,1,0,0
17076794,3.58,1.16,2.0,6.0,1,0,0
17076801,1.83,0.94,1.0,4.0,1,0,0
17076803,0.0,0.0,0.0,0.0,1,0,0
17076804,37.5,21.55,21.0,90.0,2,0,0
17076821,0.0,0.0,0.0,0.0,1,0,0
17076824,2.83,1.59,0.0,6.0,1,0,0
17076827,10.33,9.43,0.0,24.0,1,1,1
17076846,24.5,2.32,21.0,28.0,1,0,0
17076858,5.0,0.82,4.0,6.0,1,0,0
17076862,18.25,2.09,14.0,21.0,1,1,1
17076870,5.25,5.34,1.0,17.0,1,0,0
17076878,51.75,148.17,0.0,518.0,1,0,0
17076880,0.0,0.0,0.0,0.0,1,0,0
17076884,2.42,1.08,1.0,4.0,1,0,0
17076890,12.5,9.74,1.0,24.0,1,0,0
17076898,14.33,18.21,0.0,41.0,1,9,1
17076901,8.58,1.93,6.0,11.0,1,0,0
17076906,8.25,0.62,7.0,9.0,1,0,0
17076908,9.0,1.41,6.0,11.0,1,1,1
17076909,0.0,0.0,0.0,0.0,1,0,0
17076910,9.75,16.99,2.0,63.0,1,0,0
17076911,3.58,0.9,2.0,5.0,1,0,0
17076912,153.58,14.0,131.0,185.0,1,0,0
17076916,26.33,5.14,21.0,38.0,1,0,0
17076917,9.67,3.03,7.0,17.0,1,0,0
17076918,28.58,11.44,16.0,59.0,2,0,0
17076919,10.58,1.31,9.0,13.0,1,0,0
17076929,19.0,3.49,11.0,24.0,1,0,0
17076930,9.67,4.33,4.0,20.0,1,0,0
17076932,6.58,3.2,3.0,16.0,1,0,0
17076934,7.92,3.2,4.0,16.0,1,1,1
17076936,64.17,11.46,47.0,83.0,1,2,1
17076945,5.92,1.73,2.0,8.0,1,0,0
17076948,24.08,8.72,13.0,47.0,1,0,0
17076952,23.33,2.93,20.0,30.0,1,1,1
17076953,9.25,2.93,6.0,18.0,1,0,0
17076955,9.0,5.67,4.0,24.0,1,0,0
17076957,0.0,0.0,0.0,0.0,1,0,0
17076958,50.25,3.91,46.0,58.0,1,0,0
17076959,13.67,3.08,8.0,19.0,1,0,0
17076965,15.33,8.96,8.0,32.0,2,1,1
17076969,0.0,0.0,0.0,0.0,1,0,0
17076971,0.0,0.0,0.0,0.0,1,0,0
17076972,6.75,5.53,0.0,15.0,2,0,0
17076973,0.0,0.0,0.0,0.0,1,2,1
17076979,5.0,2.8,2.0,11.0,1,0,0
17076980,8.08,4.76,0.0,19.0,1,0,0
17076981,2.58,0.67,2.0,4.0,1,0,0
17076985,0.0,0.0,0.0,0.0,1,1,1
17076986,0.0,0.0,0.0,0.0,1,0,0
17076987,0.4,0.89,0.0,2.0,1,1,1
17076999,13.92,4.42,6.0,23.0,1,1,1
17077000,2.67,0.98,1.0,5.0,1,0,0
17077001,0.0,0.0,0.0,0.0,1,0,0
17077002,7.75,8.53,1.0,33.0,1,2,1
17077003,0.0,0.0,0.0,0.0,1,1,1
17077005,0.0,0.0,0.0,0.0,1,0,0
17077006,0.0,0.0,0.0,0.0,1,1,1
17077007,0.0,0.0,0.0,0.0,1,1,1
17077009,23.75,6.37,17.0,38.0,1,1,1
17077010,0.0,0.0,0.0,0.0,1,0,0
17077012,2.83,2.44,0.0,7.0,1,1,1
17077014,0.0,0.0,0.0,0.0,1,0,0
17077015,0.92,0.67,0.0,2.0,1,1,1
17077016,8.42,1.83,6.0,11.0,1,1,1
17077017,4.25,0.87,3.0,6.0,1,0,0
17077019,0.0,0.0,0.0,0.0,1,2,1
17077023,19.83,10.21,11.0,45.0,1,1,1
17077024,0.0,0.0,0.0,0.0,1,1,1
17077028,0.0,0.0,0.0,0.0,1,1,1
17077030,0.0,0.0,0.0,0.0,1,0,0
17077031,0.0,0.0,0.0,0.0,1,0,0
17077033,10.0,1.35,8.0,12.0,1,1,1
17077034,4.58,0.67,4.0,6.0,1,0,0
17077042,0.0,0.0,0.0,0.0,1,1,1
17077045,0.25,0.62,0.0,2.0,1,1,1
17077046,14.33,7.13,7.0,28.0,1,0,0
17077047,5.33,3.39,0.0,12.0,1,1,1
17077048,4.92,0.9,4.0,7.0,1,0,0
17077052,13.08,10.98,4.0,40.0,1,2,1
17077053,1.67,1.61,0.0,6.0,1,1,1
17077054,0.58,0.79,0.0,2.0,1,0,0
17077056,2.83,1.34,2.0,6.0,1,0,0
17077061,6.08,5.92,0.0,14.0,1,4,1
17077062,3.67,1.72,0.0,7.0,1,0,0
17077063,11.0,1.65,8.0,13.0,1,0,0
17077064,5.17,2.44,1.0,10.0,1,0,0
17077065,0.0,0.0,0.0,0.0,1,1,1
17077066,0.0,0.0,0.0,0.0,1,0,0
17077068,0.0,0.0,0.0,0.0,1,1,1
17077069,32.83,3.07,28.0,38.0,1,0,0
17077073,58.25,11.11,41.0,78.0,1,0,0
17077074,0.0,0.0,0.0,0.0,1,1,1
17077075,1.58,3.37,0.0,11.0,1,1,1
17077081,0.0,0.0,0.0,0.0,1,0,0
17077088,12.42,11.92,0.0,40.0,1,4,1
17077089,0.0,0.0,0.0,0.0,1,2,1
17077090,0.0,0.0,0.0,0.0,1,0,0
17077099,0.0,0.0,0.0,0.0,1,0,0
17077100,0.25,0.45,0.0,1.0,1,0,0
17077101,3.33,0.89,2.0,5.0,1,1,1
17077102,2.75,2.56,0.0,10.0,1,0,0
17077103,8.25,3.91,0.0,16.0,1,1,1
17077104,0.0,0.0,0.0,0.0,1,0,0
17077106,0.0,0.0,0.0,0.0,1,0,0
17077108,0.83,1.7,0.0,6.0,1,0,0
17077110,1.38,2.07,0.0,5.0,1,0,0
17077112,12.42,3.65,6.0,18.0,1,0,0
17077113,0.0,0.0,0.0,0.0,1,0,0
17077116,1.33,0.89,0.0,3.0,1,0,0
17077124,17.33,1.53,16.0,19.0,1,0,0
17077125,0.0,0.0,0.0,0.0,1,0,0
17077126,45.5,15.95,30.0,82.0,1,1,1
17077128,4.42,2.39,0.0,10.0,1,0,0
17077129,19.83,2.89,14.0,24.0,1,0,0
17077130,14.08,5.93,2.0,21.0,1,0,0
17077131,3.17,0.72,2.0,4.0,1,0,0
17077135,15.42,23.19,4.0,85.0,1,0,0
17077136,4.33,5.4,0.0,16.0,1,0,0
17077137,26.0,2.13,23.0,29.0,1,0,0
17077142,0.0,0.0,0.0,0.0,1,0,0
17077148,5.17,7.96,0.0,18.0,1,0,0
17077150,259.17,27.57,224.0,320.0,1,1,1
17077151,40.83,19.52,11.0,81.0,1,0,0
17077152,9.67,9.38,0.0,22.0,1,1,1
17077155,71.67,73.67,0.0,278.0,1,1,1
17077159,0.0,0.0,0.0,0.0,1,2,1
17077160,0.0,0.0,0.0,0.0,1,0,0
17077172,68.42,8.64,57.0,82.0,1,1,1
17077174,46.0,21.79,0.0,62.0,1,1,1
17077176,26.75,2.38,24.0,32.0,1,0,0
17077191,0.0,0.0,0.0,0.0,1,0,0
17077192,0.0,0.0,0.0,0.0,1,0,0
17077194,28.42,5.63,21.0,38.0,1,0,0
17077198,0.17,0.39,0.0,1.0,1,0,0
17077199,19.25,7.75,8.0,32.0,1,0,0
17077201,12.92,3.73,10.0,23.0,1,0,0
17077213,27.92,14.56,18.0,73.0,1,2,1
17077221,17.25,20.01,4.0,62.0,1,0,0
17077223,0.0,0.0,0.0,0.0,1,2,1
17077224,9.92,2.54,7.0,14.0,1,0,0
17077232,19.83,2.33,16.0,24.0,1,0,0
17077233,12.33,18.31,0.0,55.0,1,5,1
17077249,0.0,0.0,0.0,0.0,1,0,0
17077251,0.0,0.0,0.0,0.0,1,1,1
17077257,1.33,0.98,0.0,3.0,1,0,0
17077264,12.17,12.93,2.0,40.0,1,1,1
17077269,41.17,6.59,33.0,53.0,1,0,0
17077274,12.0,0.0,12.0,12.0,1,0,0
17077279,0.0,0.0,0.0,0.0,1,1,1
17077286,15.67,4.91,8.0,27.0,1,1,1
17077288,5.75,1.14,4.0,8.0,1,0,0
17077289,13.08,7.46,0.0,26.0,1,0,0
17077294,163.75,88.68,78.0,301.0,1,0,0
17077297,66.5,69.55,0.0,243.0,2,2,1
17077300,20.33,10.48,0.0,45.0,1,0,0
17077306,0.83,0.72,0.0,2.0,1,0,0
17077307,13.92,2.64,8.0,18.0,1,0,0
17077308,0.17,0.58,0.0,2.0,1,0,0
17077310,2.75,1.76,0.0,7.0,1,0,0
17077317,13.75,5.19,8.0,26.0,1,0,0
17077324,25.33,13.83,0.0,62.0,1,0,0
17077326,0.0,0.0,0.0,0.0,1,1,1
17077327,9.92,1.62,7.0,12.0,1,1,1
17077333,0.08,0.29,0.0,1.0,1,0,0
17077336,4.67,0.89,3.0,6.0,1,0,0
17077345,16.25,6.7,0.0,30.0,1,0,0
17077346,2.92,4.06,0.0,13.0,1,0,0
17077354,0.5,0.52,0.0,1.0,1,0,0
17077359,3.42,2.23,0.0,6.0,1,1,1
17077360,47.42,7.13,37.0,60.0,1,0,0
17077361,0.0,0.0,0.0,0.0,1,1,1
17077362,12.75,3.08,9.0,18.0,1,1,1
17077365,7.75,11.7,0.0,30.0,1,0,0
17077367,5.83,3.21,2.0,13.0,1,0,0
17077372,19.67,18.84,0.0,55.0,2,0,0
17077375,11.58,5.42,0.0,16.0,1,0,0
17077379,2.0,1.35,0.0,4.0,1,1,1
17077391,0.0,0.0,0.0,0.0,1,1,1
17077392,1.0,0.6,0.0,2.0,1,1,1
17077393,20.38,24.74,0.0,79.0,1,1,1
17077397,10.75,2.67,7.0,16.0,1,2,1
17077410,15.92,9.35,0.0,34.0,1,0,0
17077414,3.5,1.72,0.0,6.0,1,0,0
17077420,2.17,0.83,0.0,3.0,1,0,0
17077422,218.92,19.24,188.0,244.0,1,0,0
17077426,0.0,0.0,0.0,0.0,1,0,0
17077431,2.83,3.01,0.0,9.0,1,0,0
17077436,20.67,2.87,16.0,25.0,1,0,0
17077439,43.33,24.54,0.0,103.0,1,0,0
17077442,0.83,0.83,0.0,2.0,1,1,1
17077445,10.83,10.0,0.0,33.0,1,0,0
17077449,55.42,40.74,0.0,105.0,1,0,0
17077450,0.0,0.0,0.0,0.0,1,0,0
17077454,942.5,461.01,0.0,1253.0,1,0,0
17077460,0.0,0.0,0.0,0.0,1,0,0
17077462,2.42,0.79,1.0,4.0,1,0,0
17077466,24.42,4.46,20.0,32.0,1,0,0
17077474,9.5,6.39,0.0,24.0,1,0,0
17077475,0.0,0.0,0.0,0.0,1,2,1
17077476,3.83,2.33,2.0,11.0,1,0,0
17077478,5.75,2.67,0.0,10.0,1,2,1
17077479,0.0,0.0,0.0,0.0,1,0,0
17077480,0.0,0.0,0.0,0.0,1,0,0
17077482,1.42,2.57,0.0,9.0,1,0,0
17077488,0.0,0.0,0.0,0.0,1,0,0
17077490,1.67,3.06,0.0,11.0,1,0,0
17077492,3.08,1.51,0.0,6.0,1,0,0
17077496,0.58,0.67,0.0,2.0,1,1,1
17077497,1.25,0.75,0.0,3.0,1,0,0
17077499,3.17,1.11,1.0,5.0,1,0,0
17077500,65.0,16.7,37.0,96.0,1,0,0
17077505,12.75,6.4,6.0,24.0,1,0,0
17077506,25.42,7.69,13.0,39.0,1,0,0
17077508,2.58,1.83,1.0,8.0,1,0,0
17077510,60.83,58.45,0.0,210.0,1,0,0
17077519,1.25,1.82,0.0,5.0,1,1,1
17077520,8.58,2.07,6.0,12.0,1,0,0
17077523,2.25,1.22,0.0,4.0,1,1,1
17077525,0.5,0.71,0.0,1.0,1,4,1
17077527,10.25,2.56,8.0,15.0,1,1,1
17077540,0.0,0.0,0.0,0.0,1,0,0
17077548,8.83,6.52,0.0,23.0,1,0,0
17077558,8.75,2.9,6.0,16.0,1,0,0
17077559,11.58,1.98,8.0,15.0,1,0,0
17077565,7.33,1.23,5.0,10.0,1,0,0
17077575,47.6,8.44,38.0,56.0,1,0,0
17077586,20.83,4.06,16.0,30.0,1,0,0
17077595,5.25,0.87,4.0,7.0,1,0,0
17077597,0.0,0.0,0.0,0.0,1,0,0
17077610,32.5,5.57,23.0,40.0,2,0,0
17077621,0.58,0.51,0.0,1.0,1,0,0
17077652,3.6,1.95,2.0,7.0,1,0,0
17077668,1.0,0.0,1.0,1.0,1,0,0
17077669,6.42,2.07,2.0,9.0,1,0,0
17077673,5.67,2.15,3.0,12.0,1,0,0
17077695,8.58,1.24,7.0,11.0,1,0,0
17077708,2.0,4.84,0.0,15.0,1,3,1
17077728,10.33,1.61,8.0,14.0,1,0,0
17077758,11.86,8.43,0.0,21.0,1,0,0
17077766,11.42,3.2,7.0,17.0,1,0,0
17077777,3.08,0.79,2.0,4.0,1,0,0
17077780,1.08,1.16,0.0,3.0,1,1,1
17077782,10.0,2.63,5.0,15.0,1,0,0
17077784,6.17,1.11,4.0,8.0,1,0,0
17077795,4.25,1.14,2.0,6.0,1,0,0
17077797,8.42,5.42,3.0,18.0,1,0,0
17077804,0.0,0.0,0.0,0.0,1,0,0
17077814,6.42,4.48,3.0,19.0,2,0,0
17077828,0.67,1.23,0.0,4.0,1,0,0
17077839,16.0,6.86,6.0,33.0,1,0,0
17077848,8.08,2.27,4.0,12.0,1,1,1
17077855,7.5,5.7,0.0,16.0,1,0,0
17077856,3.0,0.6,2.0,4.0,1,0,0
17077858,0.0,0.0,0.0,0.0,1,1,1
17077860,45.5,7.57,34.0,57.0,1,0,0
17077876,251.5,329.7,0.0,818.0,2,0,0
17077879,0.0,0.0,0.0,0.0,1,0,0
17077881,7.67,3.17,0.0,11.0,1,0,0
17077882,22.58,2.11,19.0,25.0,1,0,0
17077890,0.0,0.0,0.0,0.0,1,0,0
17077892,3.33,2.77,0.0,7.0,1,1,1
17077897,2.5,1.38,0.0,4.0,1,0,0
17077900,17.5,5.93,11.0,27.0,1,0,0
17077906,3.75,0.75,3.0,5.0,1,0,0
17077910,12.33,5.32,3.0,18.0,1,1,1
17077913,15.58,15.95,0.0,42.0,1,0,0
17077914,0.0,0.0,0.0,0.0,1,1,1
17077915,128.33,43.11,42.0,188.0,1,0,0
17077917,11.58,4.25,4.0,19.0,1,0,0
17077918,4.83,0.58,4.0,6.0,1,0,0
17077921,5.92,3.12,2.0,15.0,1,1,1
17077922,7.67,26.56,0.0,92.0,1,1,1
17077927,1.0,0.0,1.0,1.0,1,1,1
17077929,21.25,12.96,0.0,40.0,1,0,0
17077932,11.17,6.45,8.0,31.0,1,0,0
17077934,17.5,9.8,10.0,46.0,1,1,1
17077940,0.12,0.35,0.0,1.0,1,1,1
17077942,7.75,1.91,5.0,12.0,1,0,0
17077946,8.58,3.8,3.0,16.0,1,0,0
17077948,54.5,183.15,0.0,636.0,1,2,1
17077949,5.67,2.31,2.0,11.0,1,0,0
17077951,0.75,1.14,0.0,4.0,1,1,1
17077952,1.67,1.3,0.0,5.0,1,0,0
17077955,3.17,2.37,1.0,9.0,1,0,0
17077956,53.33,11.22,39.0,73.0,1,0,0
17077957,25.08,4.42,18.0,34.0,1,0,0
17077959,6.08,4.66,1.0,11.0,1,2,1
17077966,0.0,0.0,0.0,0.0,1,0,0
17077967,38.67,10.45,26.0,65.0,1,1,1
17077968,2.67,1.67,0.0,4.0,1,0,0
17077970,27.58,6.13,16.0,38.0,1,1,1
17077980,12.17,2.72,5.0,15.0,1,0,0
17077990,12.92,8.43,1.0,30.0,1,0,0
17077991,26.83,8.89,7.0,39.0,1,0,0
17077994,5.25,1.96,3.0,9.0,1,0,0
17077996,7.5,6.36,4.0,22.0,1,0,0
17077997,16.83,13.22,0.0,43.0,1,1,1
17078005,4.33,1.3,3.0,7.0,1,0,0
17078009,2.67,0.98,2.0,5.0,1,1,1
17078010,12.5,23.18,1.0,82.0,1,0,0
17078012,29.92,3.6,24.0,35.0,1,1,1
17078014,5.92,1.51,4.0,9.0,1,0,0
17078015,3.58,1.24,2.0,7.0,1,0,0
17078017,8.75,13.17,0.0,50.0,1,0,0
17078018,0.0,0.0,0.0,0.0,1,0,0
17078019,22.17,33.48,0.0,123.0,1,0,0
17078020,21.75,5.53,14.0,36.0,1,0,0
17078023,6.58,5.23,2.0,17.0,1,0,0
17078026,2.0,1.71,0.0,5.0,1,0,0
17078030,0.0,0.0,0.0,0.0,1,0,0
17078034,1.25,0.45,1.0,2.0,1,0,0
17078036,4.0,0.85,3.0,6.0,1,0,0
17078037,0.0,0.0,0.0,0.0,2,1,1
17078044,26.58,12.92,0.0,51.0,1,5,1
17078046,0.0,0.0,0.0,0.0,1,2,1
17078049,0.0,0.0,0.0,0.0,1,1,1
17078050,18.83,6.38,4.0,25.0,1,1,1
17078051,30.25,11.04,8.0,43.0,1,0,0
17078052,0.0,0.0,0.0,0.0,1,0,0
17078053,0.0,0.0,0.0,0.0,1,0,0
17078054,73.75,13.85,50.0,92.0,1,1,1
17078059,0.0,0.0,0.0,0.0,1,0,0
